scene: garden
arm            PSNR    vertices   triangles         MB   texelMB      dMB    dPSNR
combo       25.1669   2,718,208   5,239,713      628.3       0.0   -13.6%   +0.445
long50k     24.8819   2,881,037   5,948,649      670.6       0.0    -7.8%   +0.160
tex2        24.8755   2,115,172   4,408,996      704.5     211.6    -3.2%   +0.154
noreg       24.8063   2,812,732   5,514,805      651.2       0.0   -10.5%   +0.085
base        24.7217   3,113,190   6,659,278      727.5       0.0    +0.0%   +0.000
long90k     24.5881   2,127,626   4,247,031      493.5       0.0   -32.2%   -0.134
cov         24.5719   3,051,749   6,477,095      712.5       0.0    -2.1%   -0.150
cap24       24.4540   2,162,191   4,625,496      505.2       0.0   -30.5%   -0.268
cap28       24.4517   2,159,759   4,594,522      504.4       0.0   -30.7%   -0.270
cap20       24.3717   1,994,937   4,390,198      467.6       0.0   -35.7%   -0.350
hard        24.3666   3,097,314   6,435,088      721.5       0.0    -0.8%   -0.355
hard_wide   23.8581   3,111,112   6,463,195      724.7       0.0    -0.4%   -0.864
lr60k       23.4845   2,690,379   5,422,831      624.7       0.0   -14.1%   -1.237
lrm         22.7901   2,913,793   6,272,890      681.3       0.0    -6.3%   -1.932
exact_lr10  12.4459     810,179   1,014,895      180.7       0.0   -75.2%  -12.276
exact_lr100   9.5857     469,995     748,400      106.7       0.0   -85.3%  -15.136
exact_lr1000   8.9666     281,485     328,032       62.5       0.0   -91.4%  -15.755
