scene: garden
arm               PSNR   dPSNR    triangles     size  matched
combo          25.1669  +0.445    5,239,713   -21.3%   +0.618
long50k        24.8819  +0.160    5,948,649   -10.7%   +0.242
tex2           24.8755  +0.154    4,408,996   -33.8%   +0.451
noreg          24.8063  +0.085    5,514,805   -17.2%   +0.221
base           24.7217  +0.000    6,659,278    +0.0%   +0.000
long90k        24.5881  -0.134    4,247,031   -36.2%   +0.191
cov            24.5719  -0.150    6,477,095    -2.7%   -0.130
cap24          24.4540  -0.268    4,625,496   -30.5%   -0.005
cap28          24.4517  -0.270    4,594,522   -31.0%   -0.002
cap20          24.3717  -0.350    4,390,198   -34.1%   -0.049
hard           24.3666  -0.355    6,435,088    -3.4%   -0.330
hard_wide      23.8581  -0.864    6,463,195    -2.9%   -0.842
lr60k          23.4845  -1.237    5,422,831   -18.6%   -1.089
lrm            22.7901  -1.932    6,272,890    -5.8%   -1.888
exact_lr10     12.4459 -12.276    1,014,895   -84.8%  -10.919
exact_lr100     9.5857 -15.136      748,400   -88.8%  -13.559
exact_lr1000    8.9666 -15.755      328,032   -95.1%  -13.583
